dataset_name,classifier_name,accuracy
sportsActivities:p1->p8,InceptionDANN,0.44298245610000003
hhar:b->a,Inception,0.4571045576
mfd:0->3,InceptionSASA,0.5027746948
cwrBearing:2->0,InceptionSASA,0.6073521577000001
wisdm:3->5,VRADA,0.652173913
har:12->16,CoTMix,0.6454545455
ptbXLecg:1->3,SASA,0.4285714286
miniTimeMatch:FR2->DK1,Raincoat,0.7631670132
har:12->16,InceptionMix,0.5818181818
mfd:1->3,VRADA,0.46059933410000004
mfd:0->3,InceptionMix,0.5049944506
sleepStage:12->5,Inception,0.7361111111
OnHWeq:OnHW_equations_R->OnHW_equations_L,Raincoat,0.5249469214
sportsActivities:p5->p6,CoTMix,0.3157894737
miniTimeMatch:AT1->FR1,Inception,0.7493069993
mfd:0->3,InceptionDANN,0.4539400666
har:16->12,Inception,0.6041666667000001
sleepStage:9->14,CoTMix,0.66439523
wisdm:21->31,OTDA,0.3802816901
ptbXLecg:2->1,InceptionSASA,0.6138079827
har:11->2,Inception,0.6593406593000001
ptbXLecg:0->3,CoTMix,0.6493506494
sportsActivities:p4->p2,Raincoat,0.5877192982
ford:FordB->FordA,CoTMix,0.8871212121000001
mfd:1->3,CoTMix,0.9544950055
miniTimeMatch:FR1->FR2,Raincoat,0.8924116424
sportsActivities:p1->p8,CoDATS,0.4824561404
miniTimeMatch:FR2->DK1,InceptionRain,0.7825710326
ultrasoundMuscleContraction:subject1->subject8,InceptionCDAN,0.418875
hhar:a->b,VRADA,0.7123947052
sportsActivities:p4->p2,CoTMix,0.3596491228
wisdm:3->5,SASA,0.5
ultrasoundMuscleContraction:subject5->subject4,Inception,0.48825
har:2->11,InceptionCDAN,0.5157894737000001
sportsActivities:p4->p2,InceptionSASA,0.5131578947000001
hhar:a->b,Raincoat,0.47533092660000004
ford:FordB->FordA,InceptionSASA,0.5962121212
hhar:i->a,Inception,0.4115281501
mfd:3->1,Inception,1.0
ptbXLecg:0->1,CoDATS,0.6806903991000001
miniTimeMatch:DK1->FR1,SASA,0.4391891892
wisdm:21->31,InceptionSASA,0.5492957746
ptbXLecg:1->3,CoDATS,0.5064935065
sportsActivities:p4->p2,SASA,0.4473684211
ptbXLecg:0->3,SASA,0.5324675325
sleepStage:0->11,InceptionDANN,0.6608863198
cwrBearing:3->0,InceptionDANN,0.9227490677
mfd:1->2,InceptionDANN,0.8213096559
ultrasoundMuscleContraction:subject2->subject7,InceptionCDAN,0.46475000000000005
sportsActivities:p7->p3,Inception,0.548245614
ultrasoundMuscleContraction:subject1->subject8,Inception,0.41275000000000006
wisdm:27->3,Raincoat,0.7931034483
ford:FordB->FordA,Inception,0.8295454545000001
har:6->23,InceptionCDAN,0.6696428571
sportsActivities:p5->p6,InceptionMix,0.0526315789
ptbXLecg:1->3,OTDA,0.41558441560000003
sleepStage:12->5,CoDATS,0.7256944444
sportsActivities:p7->p3,InceptionSASA,0.3289473684
cwrBearing:1->3,InceptionRain,0.8490050722
ford:FordB->FordA,Raincoat,0.871969697
sportsActivities:p5->p4,SASA,0.4649122807
ultrasoundMuscleContraction:subject1->subject8,SASA,0.581
ptbXLecg:2->1,InceptionCDAN,0.6601941748
hhar:e->f,InceptionMix,0.849862259
miniTimeMatch:FR1->AT1,Raincoat,0.9471586972
sleepStage:9->14,InceptionDANN,0.7785349233000001
miniTimeMatch:FR1->AT1,InceptionMix,0.1401593902
sportsActivities:p7->p3,CoDATS,0.7675438596
sportsActivities:p5->p6,InceptionDANN,0.5
miniTimeMatch:DK1->FR2,Inception,0.7910602911
wisdm:30->7,Inception,0.0
ptbXLecg:2->1,CoTMix,0.5814455232
ptbXLecg:0->3,InceptionCDAN,0.6233766234
ptbXLecg:0->2,CoDATS,0.6178010471000001
sleepStage:12->5,InceptionMix,0.8055555556
sportsActivities:p2->p4,Inception,0.7280701754000001
sportsActivities:p7->p3,OTDA,0.298245614
ultrasoundMuscleContraction:subject8->subject6,InceptionDANN,0.3685
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionSASA,0.31051879260000004
sportsActivities:p5->p6,InceptionRain,0.4780701754
mfd:1->0,CoDATS,0.3152053274
cwrBearing:3->1,Inception,0.9853174603
har:2->11,InceptionSASA,0.6842105263
ultrasoundMuscleContraction:subject1->subject8,InceptionDANN,0.41350000000000003
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionMix,0.4585987261
sleepStage:7->18,SASA,0.5300353357
cwrBearing:2->0,Inception,0.852424081
sportsActivities:p4->p2,OTDA,0.5263157895
OnHWeq:OnHW_equations_L->OnHW_equations_R,Raincoat,0.563020264
wisdm:27->3,VRADA,0.3275862069
hhar:e->f,VRADA,0.6170798898000001
hhar:g->h,Raincoat,0.44789081890000004
har:7->13,Raincoat,0.898989899
ptbXLecg:0->2,InceptionMix,0.664921466
cwrBearing:3->0,CoTMix,0.9072988812
cwrBearing:1->3,SASA,0.6851346079
sleepStage:9->14,Raincoat,0.6558773424000001
cwrBearing:0->3,InceptionMix,0.8525165821
wisdm:21->31,SASA,0.4929577465
ptbXLecg:3->1,Inception,0.5199568501
ultrasoundMuscleContraction:subject2->subject7,InceptionMix,0.8177500000000001
mfd:1->3,SASA,0.5305216426
ptbXLecg:0->2,CoTMix,0.6452879581000001
cwrBearing:1->3,Inception,0.9375731565000001
sleepStage:0->11,CoDATS,0.6011560694
ultrasoundMuscleContraction:subject3->subject5,InceptionSASA,0.6935
ptbXLecg:0->1,Inception,0.6677454153
wisdm:7->30,InceptionMix,0.0487804878
mfd:0->1,OTDA,0.4805771365
cwrBearing:0->1,OTDA,0.7892857143
ford:FordA->FordB,InceptionSASA,0.6296296296
ford:FordA->FordB,CoDATS,0.8209876543
ultrasoundMuscleContraction:subject8->subject6,CoTMix,0.488
har:6->23,CoDATS,0.8035714286000001
miniTimeMatch:FR2->DK1,SASA,0.3792446292
wisdm:5->1,InceptionMix,0.0208333333
hhar:c->d,InceptionRain,0.7100271003
ptbXLecg:1->3,CoTMix,0.6233766234
wisdm:27->3,InceptionMix,0.2586206897
hhar:c->d,SASA,0.5650406504000001
sportsActivities:p5->p6,Raincoat,0.2587719298
miniTimeMatch:AT1->FR2,Inception,0.8563756064
hhar:g->h,CoTMix,0.5905707196000001
ptbXLecg:0->1,InceptionSASA,0.6008629989000001
ptbXLecg:1->3,InceptionRain,0.6233766234
sleepStage:12->5,InceptionRain,0.7118055556
mfd:1->3,InceptionMix,0.9911209767
miniTimeMatch:AT1->FR2,CoDATS,0.7688842689000001
ptbXLecg:0->2,Inception,0.6387434555
ultrasoundMuscleContraction:subject4->subject5,Inception,0.352
har:7->13,InceptionSASA,0.7171717172000001
sleepStage:12->5,CoTMix,0.7361111111
miniTimeMatch:DK1->FR1,VRADA,0.566008316
cwrBearing:2->0,CoDATS,0.8705380927
har:9->18,InceptionSASA,0.5727272727
ultrasoundMuscleContraction:subject5->subject4,InceptionSASA,0.47975000000000007
miniTimeMatch:FR1->FR2,CoTMix,0.4255024255
cwrBearing:3->0,InceptionRain,0.9083644113
miniTimeMatch:FR1->AT1,InceptionCDAN,0.9430006930000001
ptbXLecg:0->3,InceptionDANN,0.7272727273
ptbXLecg:0->3,CoDATS,0.6883116883
ptbXLecg:0->3,InceptionMix,0.6753246753000001
miniTimeMatch:FR1->AT1,InceptionDANN,0.9364171864
hhar:f->e,Inception,0.749068323
sportsActivities:p5->p4,InceptionSASA,0.5043859649
wisdm:5->1,OTDA,0.4166666667
sleepStage:16->1,Inception,0.5691411936
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionSASA,0.4352441614
miniTimeMatch:FR2->DK1,CoDATS,0.7207207207
hhar:g->h,InceptionSASA,0.5
har:13->7,Inception,0.5913978495000001
miniTimeMatch:FR1->FR2,SASA,0.4391891892
ptbXLecg:1->3,Raincoat,0.5714285714
ultrasoundMuscleContraction:subject8->subject6,InceptionMix,0.42
ultrasoundMuscleContraction:subject3->subject5,SASA,0.6445000000000001
miniTimeMatch:FR1->FR2,InceptionSASA,0.6945599446
OnHWeq:OnHW_equations_L->OnHW_equations_R,VRADA,0.37517867650000003
miniTimeMatch:FR1->FR2,InceptionRain,0.9293139293
wisdm:21->31,VRADA,0.4366197183
sleepStage:9->14,OTDA,0.398637138
cwrBearing:0->3,Inception,0.7342957472
cwrBearing:0->1,InceptionSASA,0.7301587302
ultrasoundMuscleContraction:subject2->subject7,InceptionRain,0.601
sportsActivities:p1->p8,SASA,0.4078947368
ultrasoundMuscleContraction:subject2->subject7,CoTMix,0.5115000000000001
miniTimeMatch:DK1->FR1,InceptionRain,0.8050935551
ptbXLecg:0->3,VRADA,0.5714285714
ford:FordA->FordB,InceptionMix,0.7901234568000001
miniTimeMatch:DK1->FR1,OTDA,0.4391891892
hhar:e->f,Raincoat,0.7933884298
ptbXLecg:0->2,InceptionDANN,0.6636125654
sleepStage:18->7,Inception,0.7481481481000001
wisdm:7->30,Raincoat,0.2926829268
sleepStage:12->5,Raincoat,0.7256944444
ptbXLecg:1->3,InceptionSASA,0.6493506494
miniTimeMatch:AT1->FR2,InceptionSASA,0.5786555787000001
cwrBearing:0->3,CoTMix,0.8060866172000001
OnHWeq:OnHW_equations_L->OnHW_equations_R,CoDATS,0.5518372152000001
cwrBearing:0->3,OTDA,0.6890362856000001
sleepStage:7->18,CoDATS,0.6360424028
miniTimeMatch:FR1->FR2,Inception,0.8659043659000001
miniTimeMatch:AT1->FR2,Raincoat,0.8700623701
ultrasoundMuscleContraction:subject6->subject8,Inception,0.5132500000000001
mfd:1->3,InceptionSASA,0.4839067703
hhar:g->h,CoDATS,0.47146401990000003
ford:FordB->FordA,VRADA,0.4909090909
sportsActivities:p4->p2,InceptionMix,0.7719298246
ultrasoundMuscleContraction:subject8->subject1,Inception,0.32
har:9->18,CoDATS,0.6363636364
har:7->13,InceptionMix,0.7070707071
har:18->9,Inception,0.36781609200000004
miniTimeMatch:FR2->DK1,InceptionMix,0.1401593902
cwrBearing:3->0,InceptionCDAN,0.7842301545
wisdm:5->1,SASA,0.4166666667
hhar:i->a,SASA,0.5053619303
wisdm:3->5,InceptionCDAN,0.6304347826000001
ultrasoundMuscleContraction:subject5->subject4,InceptionMix,0.42325
hhar:c->d,CoDATS,0.7547425474
hhar:a->b,CoTMix,0.6871239471
sleepStage:16->1,Raincoat,0.6390101892000001
har:2->11,Inception,0.6210526316
har:9->18,InceptionMix,0.9636363636
ptbXLecg:2->0,Inception,0.7123893805
miniTimeMatch:FR1->AT1,OTDA,0.4391891892
sleepStage:12->5,InceptionDANN,0.7795138889000001
wisdm:5->1,Inception,0.4166666667
miniTimeMatch:DK1->FR1,CoDATS,0.5776160776
cwrBearing:0->1,CoTMix,0.8880952381
sportsActivities:p5->p4,InceptionCDAN,0.5175438596
ptbXLecg:0->1,CoTMix,0.4541531823
ultrasoundMuscleContraction:subject8->subject6,CoDATS,0.35150000000000003
ultrasoundMuscleContraction:subject5->subject4,InceptionDANN,0.442
sleepStage:7->18,InceptionSASA,0.5335689046000001
hhar:i->a,CoTMix,0.5804289544
miniTimeMatch:AT1->FR2,OTDA,0.26836451840000003
sleepStage:16->1,InceptionDANN,0.48034934500000004
hhar:e->f,CoTMix,0.8746556474
sportsActivities:p4->p2,InceptionCDAN,0.4780701754
ultrasoundMuscleContraction:subject8->subject6,Raincoat,0.299
mfd:1->2,CoTMix,0.6048834628
mfd:1->0,Raincoat,0.3018867925
ultrasoundMuscleContraction:subject5->subject4,InceptionCDAN,0.4445
wisdm:3->5,CoTMix,0.3043478261
mfd:1->0,InceptionMix,0.5549389567
hhar:c->d,InceptionMix,0.6517615176
sportsActivities:p5->p6,SASA,0.27192982460000004
hhar:a->b,SASA,0.4368231047
sleepStage:9->14,InceptionSASA,0.43611584330000003
ultrasoundMuscleContraction:subject2->subject7,OTDA,0.48425
OnHWeq:OnHW_equations_R->OnHW_equations_L,CoTMix,0.3232484076
hhar:a->b,InceptionDANN,0.670276775
wisdm:5->1,InceptionCDAN,0.4166666667
har:7->13,VRADA,0.6161616162
mfd:1->2,OTDA,0.4916759156
OnHWeq:OnHW_equations_R->OnHW_equations_L,SASA,0.33492569
ptbXLecg:0->3,InceptionRain,0.6103896104000001
wisdm:21->31,CoTMix,0.23943661970000002
cwrBearing:3->0,InceptionMix,0.7565263719
