dataset_name,classifier_name,accuracy
mfd:0->3,InceptionSASA,0.4972253052
cwrBearing:2->0,InceptionSASA,0.6190729888000001
wisdm:3->5,VRADA,0.2391304348
har:12->16,CoTMix,0.8181818182
ptbXLecg:1->3,SASA,0.41558441560000003
miniTimeMatch:FR2->DK1,Raincoat,0.44455994460000003
har:12->16,InceptionMix,0.7454545455
mfd:1->3,VRADA,0.4539400666
mfd:0->3,InceptionMix,0.5804661487
sleepStage:12->5,Inception,0.3003472222
OnHWeq:OnHW_equations_R->OnHW_equations_L,Raincoat,0.5138004246
sportsActivities:p5->p6,CoTMix,0.24561403510000002
miniTimeMatch:AT1->FR1,Inception,0.7437629938
mfd:0->3,InceptionDANN,0.4716981132
har:16->12,Inception,0.625
sleepStage:9->14,CoTMix,0.7717206133000001
wisdm:21->31,OTDA,0.3521126761
ptbXLecg:2->1,InceptionSASA,0.6062567422
har:11->2,Inception,0.4285714286
ptbXLecg:0->3,CoTMix,0.6493506494
sportsActivities:p4->p2,Raincoat,0.7061403509
ford:FordB->FordA,CoTMix,0.5151515152
mfd:1->3,CoTMix,0.9223085461
miniTimeMatch:FR1->FR2,Raincoat,0.908004158
sportsActivities:p1->p8,CoDATS,0.5350877193
miniTimeMatch:FR2->DK1,InceptionRain,0.6990644491
ultrasoundMuscleContraction:subject1->subject8,InceptionCDAN,0.329625
hhar:a->b,VRADA,0.5030084236
sportsActivities:p4->p2,CoTMix,0.20614035090000002
wisdm:3->5,SASA,0.3913043478
ultrasoundMuscleContraction:subject5->subject4,Inception,0.46025000000000005
har:2->11,InceptionCDAN,0.8526315789000001
sportsActivities:p4->p2,InceptionSASA,0.4561403509
hhar:a->b,Raincoat,0.4608904934
ford:FordB->FordA,InceptionSASA,0.49166666670000003
hhar:i->a,Inception,0.4731903485
mfd:3->1,Inception,1.0
ptbXLecg:0->1,CoDATS,0.5717367853
miniTimeMatch:DK1->FR1,SASA,0.4391891892
wisdm:21->31,InceptionSASA,0.5774647887000001
ptbXLecg:1->3,CoDATS,0.5974025974
sportsActivities:p4->p2,SASA,0.4649122807
ptbXLecg:0->3,SASA,0.4675324675
sleepStage:0->11,InceptionDANN,0.5915221580000001
cwrBearing:3->0,InceptionDANN,0.9424613745
mfd:1->2,InceptionDANN,0.7336293008
ultrasoundMuscleContraction:subject2->subject7,InceptionCDAN,0.5395
sportsActivities:p7->p3,Inception,0.5964912281
ultrasoundMuscleContraction:subject1->subject8,Inception,0.36525
wisdm:27->3,Raincoat,0.6724137931
ford:FordB->FordA,Inception,0.5159090909
har:6->23,InceptionCDAN,0.6428571429000001
sportsActivities:p5->p6,InceptionMix,0.0526315789
ptbXLecg:1->3,OTDA,0.41558441560000003
