dataset_name,classifier_name,accuracy
sportsActivities:p1->p8,InceptionDANN,0.6842105263
hhar:b->a,Inception,0.4852546917
mfd:0->3,InceptionSASA,0.5072142064
cwrBearing:2->0,InceptionSASA,0.6361214704
wisdm:3->5,VRADA,0.4130434783
har:12->16,CoTMix,0.8454545455
ptbXLecg:1->3,SASA,0.4025974026
miniTimeMatch:FR2->DK1,Raincoat,0.7872487872
har:12->16,InceptionMix,0.6818181818
mfd:1->3,VRADA,0.4705882353
mfd:0->3,InceptionMix,0.7347391787
sleepStage:12->5,Inception,0.7951388889000001
OnHWeq:OnHW_equations_R->OnHW_equations_L,Raincoat,0.5456475584
sportsActivities:p5->p6,CoTMix,0.2850877193
miniTimeMatch:AT1->FR1,Inception,0.7948717949
mfd:0->3,InceptionDANN,0.807991121
har:16->12,Inception,0.7187500000000001
sleepStage:9->14,CoTMix,0.7444633731
wisdm:21->31,OTDA,0.3802816901
ptbXLecg:2->1,InceptionSASA,0.5771305286
har:11->2,Inception,0.7802197802
ptbXLecg:0->3,CoTMix,0.5714285714
sportsActivities:p4->p2,Raincoat,0.8596491228
ford:FordB->FordA,CoTMix,0.9166666667000001
mfd:1->3,CoTMix,0.9223085461
miniTimeMatch:FR1->FR2,Raincoat,0.9123354123
sportsActivities:p1->p8,CoDATS,0.7236842105
miniTimeMatch:FR2->DK1,InceptionRain,0.8534303534000001
ultrasoundMuscleContraction:subject1->subject8,InceptionCDAN,0.581
hhar:a->b,VRADA,0.6823104693
sportsActivities:p4->p2,CoTMix,0.3070175439
wisdm:3->5,SASA,0.3913043478
ultrasoundMuscleContraction:subject5->subject4,Inception,0.54
har:2->11,InceptionCDAN,0.5578947368
sportsActivities:p4->p2,InceptionSASA,0.5526315789
hhar:a->b,Raincoat,0.6738868833
ford:FordB->FordA,InceptionSASA,0.5909090909
hhar:i->a,Inception,0.5536193029
mfd:3->1,Inception,0.9977802442
ptbXLecg:0->1,CoDATS,0.6601941748
miniTimeMatch:DK1->FR1,SASA,0.4391891892
wisdm:21->31,InceptionSASA,0.3943661972
ptbXLecg:1->3,CoDATS,0.6103896104000001
sportsActivities:p4->p2,SASA,0.47368421050000004
ptbXLecg:0->3,SASA,0.49350649350000003
sleepStage:0->11,InceptionDANN,0.7263969171
cwrBearing:3->0,InceptionDANN,0.8785295685000001
mfd:1->2,InceptionDANN,0.8357380688
ultrasoundMuscleContraction:subject2->subject7,InceptionCDAN,0.7902500000000001
sportsActivities:p7->p3,Inception,0.5964912281
ultrasoundMuscleContraction:subject1->subject8,Inception,0.419
wisdm:27->3,Raincoat,0.724137931
ford:FordB->FordA,Inception,0.8962121212
har:6->23,InceptionCDAN,0.9375
sportsActivities:p5->p6,InceptionMix,0.0526315789
ptbXLecg:1->3,OTDA,0.3636363636
sleepStage:12->5,CoDATS,0.8333333333
sportsActivities:p7->p3,InceptionSASA,0.3684210526
cwrBearing:1->3,InceptionRain,0.911041748
ford:FordB->FordA,Raincoat,0.9113636364000001
sportsActivities:p5->p4,SASA,0.4473684211
ultrasoundMuscleContraction:subject1->subject8,SASA,0.5888749999999999
ptbXLecg:2->1,InceptionCDAN,0.6720604099
hhar:e->f,InceptionMix,0.8774104683
miniTimeMatch:FR1->AT1,Raincoat,0.9426541927000001
sleepStage:9->14,InceptionDANN,0.8466780239
miniTimeMatch:FR1->AT1,InceptionMix,0.1401593902
sportsActivities:p7->p3,CoDATS,0.9210526316000001
sportsActivities:p5->p6,InceptionDANN,0.6973684211000001
miniTimeMatch:DK1->FR2,Inception,0.8738738739
wisdm:30->7,Inception,0.11764705880000001
ptbXLecg:2->1,CoTMix,0.6375404531000001
ptbXLecg:0->3,InceptionCDAN,0.6883116883
ptbXLecg:0->2,CoDATS,0.6321989529
sleepStage:12->5,InceptionMix,0.7430555556
sportsActivities:p2->p4,Inception,0.8157894737
sportsActivities:p7->p3,OTDA,0.2894736842
ultrasoundMuscleContraction:subject8->subject6,InceptionDANN,0.645
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionSASA,0.37568317500000004
sportsActivities:p5->p6,InceptionRain,0.6096491228
mfd:1->0,CoDATS,0.6337402886
cwrBearing:3->1,Inception,0.9880952381
har:2->11,InceptionSASA,0.8631578947
ultrasoundMuscleContraction:subject1->subject8,InceptionDANN,0.581
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionMix,0.4580679406
sleepStage:7->18,SASA,0.4681978799
cwrBearing:2->0,Inception,0.9115610016000001
sportsActivities:p4->p2,OTDA,0.5263157895
OnHWeq:OnHW_equations_L->OnHW_equations_R,Raincoat,0.5800891281
wisdm:27->3,VRADA,0.3620689655
hhar:e->f,VRADA,0.8085399449
hhar:g->h,Raincoat,0.9205955335
har:7->13,Raincoat,0.8787878788
ptbXLecg:0->2,InceptionMix,0.6583769634000001
cwrBearing:3->0,CoTMix,0.7906233351
cwrBearing:1->3,SASA,0.700351151
sleepStage:9->14,Raincoat,0.7921635434000001
cwrBearing:0->3,InceptionMix,0.8451033945
wisdm:21->31,SASA,0.3802816901
ptbXLecg:3->1,Inception,0.6515641855000001
ultrasoundMuscleContraction:subject2->subject7,InceptionMix,0.75275
mfd:1->3,SASA,0.5615982242
ptbXLecg:0->2,CoTMix,0.6413612565
cwrBearing:1->3,Inception,0.9625438939000001
sleepStage:0->11,CoDATS,0.6936416185000001
ultrasoundMuscleContraction:subject3->subject5,InceptionSASA,0.756
ptbXLecg:0->1,Inception,0.6957928803
wisdm:7->30,InceptionMix,0.6585365854
mfd:0->1,OTDA,0.4716981132
cwrBearing:0->1,OTDA,0.7904761905000001
ford:FordA->FordB,InceptionSASA,0.537037037
ford:FordA->FordB,CoDATS,0.7777777778
ultrasoundMuscleContraction:subject8->subject6,CoTMix,0.6805
har:6->23,CoDATS,0.875
miniTimeMatch:FR2->DK1,SASA,0.4391891892
wisdm:5->1,InceptionMix,0.375
hhar:c->d,InceptionRain,0.7195121951
ptbXLecg:1->3,CoTMix,0.6233766234
wisdm:27->3,InceptionMix,0.3103448276
hhar:c->d,SASA,0.5203252033
sportsActivities:p5->p6,Raincoat,0.9122807018
miniTimeMatch:AT1->FR2,Inception,0.8293485793
hhar:g->h,CoTMix,0.6439205955
ptbXLecg:0->1,InceptionSASA,0.5954692557
ptbXLecg:1->3,InceptionRain,0.6103896104000001
sleepStage:12->5,InceptionRain,0.8350694444000001
mfd:1->3,InceptionMix,0.9966703663
miniTimeMatch:AT1->FR2,CoDATS,0.8965696466
ptbXLecg:0->2,Inception,0.6727748691000001
ultrasoundMuscleContraction:subject4->subject5,Inception,0.634
har:7->13,InceptionSASA,0.8484848485
sleepStage:12->5,CoTMix,0.7986111111
miniTimeMatch:DK1->FR1,VRADA,0.4684684685
cwrBearing:2->0,CoDATS,0.9072988812
har:9->18,InceptionSASA,0.6454545455
ultrasoundMuscleContraction:subject5->subject4,InceptionSASA,0.5162500000000001
miniTimeMatch:FR1->FR2,CoTMix,0.46760221760000004
cwrBearing:3->0,InceptionRain,0.9286094832
miniTimeMatch:FR1->AT1,InceptionCDAN,0.9488911989000001
ptbXLecg:0->3,InceptionDANN,0.7012987013
ptbXLecg:0->3,CoDATS,0.6363636364
ptbXLecg:0->3,InceptionMix,0.6883116883
miniTimeMatch:FR1->AT1,InceptionDANN,0.9563409563
hhar:f->e,Inception,0.7527950311
sportsActivities:p5->p4,InceptionSASA,0.3421052632
wisdm:5->1,OTDA,0.5833333333
sleepStage:16->1,Inception,0.6972343523
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionSASA,0.4474522293
miniTimeMatch:FR2->DK1,CoDATS,0.729036729
hhar:g->h,InceptionSASA,0.5210918114
har:13->7,Inception,0.8709677419
miniTimeMatch:FR1->FR2,SASA,0.44767844770000004
ptbXLecg:1->3,Raincoat,0.5844155844000001
ultrasoundMuscleContraction:subject8->subject6,InceptionMix,0.35150000000000003
ultrasoundMuscleContraction:subject3->subject5,SASA,0.6695
miniTimeMatch:FR1->FR2,InceptionSASA,0.8012820513000001
OnHWeq:OnHW_equations_L->OnHW_equations_R,VRADA,0.3618094678
miniTimeMatch:FR1->FR2,InceptionRain,0.952009702
wisdm:21->31,VRADA,0.3802816901
sleepStage:9->14,OTDA,0.3901192504
cwrBearing:0->3,Inception,0.7990635973
cwrBearing:0->1,InceptionSASA,0.7150793651
ultrasoundMuscleContraction:subject2->subject7,InceptionRain,0.6242500000000001
sportsActivities:p1->p8,SASA,0.4385964912
ultrasoundMuscleContraction:subject2->subject7,CoTMix,0.8117500000000001
miniTimeMatch:DK1->FR1,InceptionRain,0.6793139293
ptbXLecg:0->3,VRADA,0.5584415584
ford:FordA->FordB,InceptionMix,0.7716049383
miniTimeMatch:DK1->FR1,OTDA,0.3645183645
hhar:e->f,Raincoat,0.9132231405000001
ptbXLecg:0->2,InceptionDANN,0.6439790576000001
sleepStage:18->7,Inception,0.7866666667000001
wisdm:7->30,Raincoat,0.5365853659
sleepStage:12->5,Raincoat,0.8020833333
ptbXLecg:1->3,InceptionSASA,0.6233766234
miniTimeMatch:AT1->FR2,InceptionSASA,0.6179833680000001
cwrBearing:0->3,CoTMix,0.8006242684
OnHWeq:OnHW_equations_L->OnHW_equations_R,CoDATS,0.6667787774
cwrBearing:0->3,OTDA,0.744830277
sleepStage:7->18,CoDATS,0.7685512367
miniTimeMatch:FR1->FR2,Inception,0.8596673597000001
miniTimeMatch:AT1->FR2,Raincoat,0.8927581428
ultrasoundMuscleContraction:subject6->subject8,Inception,0.624
mfd:1->3,InceptionSASA,0.5504994451
hhar:g->h,CoDATS,0.9429280397
ford:FordB->FordA,VRADA,0.5159090909
sportsActivities:p4->p2,InceptionMix,0.7763157895
ultrasoundMuscleContraction:subject8->subject1,Inception,0.7006521739
har:9->18,CoDATS,0.8636363636000001
har:7->13,InceptionMix,0.9494949495
har:18->9,Inception,0.632183908
miniTimeMatch:FR2->DK1,InceptionMix,0.1401593902
cwrBearing:3->0,InceptionCDAN,0.8684070325000001
wisdm:5->1,SASA,0.4166666667
hhar:i->a,SASA,0.4008042895
wisdm:3->5,InceptionCDAN,0.4130434783
ultrasoundMuscleContraction:subject5->subject4,InceptionMix,0.5012500000000001
hhar:c->d,CoDATS,0.810298103
hhar:a->b,CoTMix,0.7557160048
sleepStage:16->1,Raincoat,0.768558952
har:2->11,Inception,0.8526315789000001
har:9->18,InceptionMix,0.9545454545000001
ptbXLecg:2->0,Inception,0.7256637168000001
miniTimeMatch:FR1->AT1,OTDA,0.46621621620000003
sleepStage:12->5,InceptionDANN,0.7777777778
wisdm:5->1,Inception,0.4166666667
miniTimeMatch:DK1->FR1,CoDATS,0.6683991684
cwrBearing:0->1,CoTMix,0.9087301587000001
sportsActivities:p5->p4,InceptionCDAN,0.8245614035000001
ptbXLecg:0->1,CoTMix,0.5846817691
ultrasoundMuscleContraction:subject8->subject6,CoDATS,0.645
ultrasoundMuscleContraction:subject5->subject4,InceptionDANN,0.5805
sleepStage:7->18,InceptionSASA,0.5530035336
hhar:i->a,CoTMix,0.600536193
miniTimeMatch:AT1->FR2,OTDA,0.6015246015
sleepStage:16->1,InceptionDANN,0.7423580786
hhar:e->f,CoTMix,0.8939393939
sportsActivities:p4->p2,InceptionCDAN,0.7456140351
ultrasoundMuscleContraction:subject8->subject6,Raincoat,0.648
mfd:1->2,CoTMix,0.6947835738
mfd:1->0,Raincoat,0.6570477248000001
ultrasoundMuscleContraction:subject5->subject4,InceptionCDAN,0.5975
wisdm:3->5,CoTMix,0.6304347826000001
mfd:1->0,InceptionMix,0.6448390677
hhar:c->d,InceptionMix,0.5650406504000001
sportsActivities:p5->p6,SASA,0.3596491228
hhar:a->b,SASA,0.3357400722
sleepStage:9->14,InceptionSASA,0.42078364570000004
ultrasoundMuscleContraction:subject2->subject7,OTDA,0.5777500000000001
OnHWeq:OnHW_equations_R->OnHW_equations_L,CoTMix,0.33439490450000003
hhar:a->b,InceptionDANN,0.6859205776
wisdm:5->1,InceptionCDAN,0.7916666667000001
har:7->13,VRADA,0.7272727273
mfd:1->2,OTDA,0.4694783574
OnHWeq:OnHW_equations_R->OnHW_equations_L,SASA,0.2967091295
ptbXLecg:0->3,InceptionRain,0.5974025974
wisdm:21->31,CoTMix,0.7746478873
cwrBearing:3->0,InceptionMix,0.8790623335000001
ford:FordA->FordB,CoTMix,0.8209876543
mfd:0->1,Inception,0.5815760266000001
ptbXLecg:2->1,VRADA,0.6720604099
sportsActivities:p1->p8,VRADA,0.25
hhar:g->h,OTDA,0.44789081890000004
ultrasoundMuscleContraction:subject3->subject5,CoDATS,0.644
ptbXLecg:0->3,Inception,0.6363636364
sleepStage:7->18,Inception,0.7597173145
sportsActivities:p5->p6,InceptionCDAN,0.5570175439
hhar:c->d,InceptionDANN,0.7317073171
ultrasoundMuscleContraction:subject2->subject7,VRADA,0.5395
mfd:2->1,Inception,0.9334073252
ford:FordB->FordA,InceptionMix,0.9083333333
hhar:i->a,VRADA,0.5898123324
har:12->16,VRADA,0.6090909091000001
ultrasoundMuscleContraction:subject2->subject7,InceptionDANN,0.84325
sleepStage:1->16,Inception,0.6015503876
har:7->13,OTDA,0.8080808081
ptbXLecg:0->1,InceptionCDAN,0.6979503776
mfd:0->3,InceptionCDAN,0.5438401776
mfd:1->0,InceptionSASA,0.4861265261
OnHWeq:OnHW_equations_R->OnHW_equations_L,VRADA,0.4378980892
miniTimeMatch:FR1->AT1,CoDATS,0.8321205821000001
ptbXLecg:0->1,InceptionRain,0.6601941748
cwrBearing:0->3,CoDATS,0.8540772532
sportsActivities:p1->p8,Raincoat,0.8947368421
ptbXLecg:0->2,VRADA,0.5602094241000001
mfd:1->0,InceptionRain,0.8890122087000001
har:6->23,CoTMix,0.9285714286000001
mfd:0->1,SASA,0.4705882353
hhar:g->h,InceptionRain,0.9081885856
har:6->23,Raincoat,0.9107142857
ultrasoundMuscleContraction:subject2->subject7,SASA,0.5650000000000001
miniTimeMatch:FR2->AT1,Inception,0.6640679141
hhar:a->b,CoDATS,0.7003610108
cwrBearing:3->0,InceptionSASA,0.6526371870000001
mfd:0->3,VRADA,0.4550499445
sportsActivities:p5->p6,CoDATS,0.7894736842000001
cwrBearing:0->1,InceptionDANN,0.9424603175
miniTimeMatch:FR1->FR2,CoDATS,0.9064449064000001
wisdm:21->31,InceptionRain,0.9718309859
wisdm:5->1,VRADA,0.4166666667
ford:FordA->FordB,InceptionDANN,0.8086419753
ultrasoundMuscleContraction:subject2->subject7,Inception,0.8267500000000001
mfd:0->1,InceptionRain,0.7291897891
wisdm:3->5,InceptionDANN,0.4130434783
miniTimeMatch:FR1->AT1,Inception,0.8996881497
sleepStage:11->0,Inception,0.7901861252
cwrBearing:0->1,InceptionCDAN,0.9222222222
sportsActivities:p5->p4,InceptionDANN,0.7894736842000001
wisdm:5->1,CoDATS,0.7708333333
hhar:e->f,InceptionCDAN,0.8829201102
sportsActivities:p5->p4,Raincoat,0.8640350877
hhar:g->h,InceptionDANN,0.6265508685
sportsActivities:p1->p8,InceptionMix,0.4342105263
sleepStage:9->14,CoDATS,0.8262350937
har:12->16,CoDATS,0.8727272727000001
har:7->13,InceptionRain,0.9494949495
ultrasoundMuscleContraction:subject5->subject4,CoDATS,0.5717500000000001
sportsActivities:p5->p4,VRADA,0.7763157895
wisdm:27->3,Inception,0.7413793103
wisdm:7->30,Inception,0.5609756098
mfd:0->3,InceptionRain,0.7436182020000001
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionRain,0.6125265393
ptbXLecg:0->3,InceptionSASA,0.5584415584
ptbXLecg:3->0,Inception,0.6769911504
sportsActivities:p7->p3,InceptionCDAN,0.7412280702
har:12->16,InceptionSASA,0.6181818182000001
miniTimeMatch:FR1->FR2,VRADA,0.7896742897
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionCDAN,0.6602202977
wisdm:3->5,InceptionSASA,0.4782608696
cwrBearing:0->3,SASA,0.6449473274
mfd:1->2,InceptionCDAN,0.8956714761000001
mfd:0->1,VRADA,0.4472807991
sportsActivities:p3->p7,Inception,0.7105263158
cwrBearing:0->3,VRADA,0.4299648849
miniTimeMatch:DK1->FR1,InceptionSASA,0.5254677755
mfd:1->0,VRADA,0.4395116537
cwrBearing:0->3,Inception,0.7990635973
ptbXLecg:1->2,Inception,0.6387434555
wisdm:5->1,Raincoat,0.7916666667000001
wisdm:27->3,InceptionSASA,0.3620689655
cwrBearing:2->0,OTDA,0.6952583910000001
hhar:g->h,Inception,0.6662531017000001
har:7->13,CoDATS,0.8787878788
mfd:1->0,CoTMix,0.6703662597000001
hhar:i->a,Raincoat,0.7050938338
